,arg_id,LocalAcceptability,Cogency,LocalRelevance,LocalSufficiency,Text
0,arg167721,3,2,3,2,"It was undoubtedly Raffles' ambition and vision which led him to search for another British base in the Straits of Malacca, and to select Singapore as the best location to achieve British economic and strategic objectives in the region. Without Raffles, it is likely that Singapore would have remained a sparsely inhabited island, on the margins of the Dutch colonial empire in the East Indies."
1,arg168778,3,2,3,2,"FOUNDER IS NOT A PERSON WHO ""DISCOVERS"" A PLACE if so i can say the prince Sanila Utama is the founder of singapore!(this for some who say farquhar saw the island first) And I do know that farquer has been very involved in this help and sometimes even does all the work but let me remind you that being raffles ""assistant"" he still had to consult raffles and raffles had all authority over Singapore therefore he was given credit. Then i would like to ask u a question why then does the names ""raffles institution"" ""raffles hospital"" raffles medical clinics"""
2,arg168795,2,2,3,2,"Although Farquhar was said to be the one who stayed in Singapore to support its development, Raffles provided the planning, the strategizing, and was the one to select Singapore as another British base, giving early Singapore support of the British. If William Farquhar was to be proclaimed the founder because he did the ""grunt work"", shouldn't the supervisor of a construction site get the most commission, instead of the contractor? And besides, Raffles left Singapore under the orders of his superiors and he did not leave of free will"
3,arg168790,2,1,2,1,He revived the cultural heritage of the region by setting up schools for the Chinese and Malays and did a lot for the people while Farquhar just wanted to gain control through his actions.
4,arg168836,1,1,2,1,"Farquhar has a boss!(raffles) he has to follow raffles and not go about doing anything else if then why cant farquhar help singapore after he was fired? I say again you do need to be in a certain position to be a founder as time, money, effort is all invested. You must know people who would help you."
5,arg580842,1,1,2,1,"Raffles had a vision for Singapore that it will be an orderly, elegant, rational and modern and he worked towards it. And while Raffles was gone, Farquhar developed Singapore poorly causing Raffles to feel dissappointed."
6,arg168803,3,1,2,1,"Raffles conceived a town plan to remodel Singapore into a modern city. The plan consisted of separate areas for different ethnic groups and provision of other facilities such as roads, schools and lands for government buildings. In October 1822, a Town Plan Committee was formed by Raffles to oversee the project."
7,arg168824,3,3,3,3,"Raffles was the person who signed a treaty with the Temenggong and also the Sultan Hussien, and not William Farquhar. I agree that William Farquhar was the one that remained in Singapore to keep it running and also developed it further, but Raffles was the one who gave him the position because he had to leave and return to Bencoolen, also, he was the one who laid out the foundation of Singapore's Development, so he should be considered a founder."
8,arg168771,2,2,2,1,"The Singapore Treaty is signed between Raffles,Sultan Hussein and the Temenggong with Commandant under the accompanying seven ships witnessing the event."
9,arg168835,3,2,3,2,"Even though it is true that Raffles did not work closely with the population to develop Singapore, he provided plans, ideas and was going to put them in action by himself when his superiors ordered him to Bencoolen. Hence it was common sense for Raffles to leave his subordinate to finish his ideas"
10,arg168834,2,2,3,2,"Raffles doesn't care about the citizens, doesn't spare a thought at all.

So what if he discovered the island majulah singapura, he did not help in the least in singapore's development. so why in the world should he deserve the title of 'singapore's founder'?

Farquhar developed the island, with all his ideas contributing to the development."
11,arg168822,2,2,2,2,"Raffles neglected Singapore when he went around conquering other 'more useful' countries for about FOUR years, leaving all the work to Farquhar to settle. Plus, to drive my point further, the countries that were run by Raffles all ended up BADLY. This shows that Raffles was a bad developer of the country."
12,arg168780,2,2,2,2,"Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today."
